"","x"
"250",858668.294766076
"251",933776.022318197
"252",507946.699186358
"253",621087.301827476
"254",474335.282698978
"255",273532.261820699
"256",519714.11730616
"257",242840.209634586
"258",597231.580852497
"259",676246.449238206
"260",402050.805173784
"261",1070025.91757358
"262",651022.78488503
"263",300068.970348983
"264",532146.973472608
"265",615524.346211412
"266",700833.899313731
"267",538319.703297151
"268",750216.33704112
"269",659955.445359732
"270",634659.997789909
"271",393543.437940877
"272",541743.852303986
"273",197658.372994603
"274",705397.621186525
"275",740645.258529488
"276",497046.176883207
"277",415639.233025261
"278",322295.655142105
"279",961643.086684836
"280",348696.366748639
"281",845912.166470659
"282",341606.526752511
"283",597093.043728846
"284",285173.533831213
"285",825577.083695554
"286",758670.468358645
"287",661659.31043405
"288",1508496.9488976
"289",231643.467583958
"290",467234.726200557
"291",288167.191161277
"292",433553.393516792
"293",596671.514517169
"294",1573942.72345925
"295",753902.839378393
"296",399356.406221565
"297",789121.962064174
"298",123114.5802397
"299",579391.233615382
"300",1036644.96988439
"301",456009.697312379
"302",357407.693822422
"303",856707.982532011
"304",653938.880929292
"305",529855.910478093
"306",977089.051703819
"307",426186.664705719
"308",199129.469386556
"309",605000.33298622
"310",591315.776600695
"311",451792.83878166
"312",596082.456954655
"313",127951.349147381
"314",495869.087742461
"315",951210.047502275
"316",1531235.31981852
"317",542702.840119862
"318",311221.617368338
"319",653613.093003615
"320",528741.872309772
"321",737904.751514503
"322",641192.010034425
"323",321610.454162675
"324",299788.013676769
"325",690373.475230234
"326",444098.437437331
"327",586559.649110022
"328",370105.713002677
"329",170318.205172325
"330",604668.41237142
"331",646933.636759369
"332",399404.882735681
"333",701782.21490811
"334",543866.933959837
"335",402084.933339931
"336",416958.931061058
"337",507054.605599026
"338",681094.795689002
"339",485032.204165069
"340",484995.586983113
"341",160561.409432771
"342",487135.120152632
"343",448229.064020112
"344",308698.173071202
"345",382548.30992629
"346",413585.597672337
"347",174002.408678056
"348",491346.487687093
"349",733864.61447179
"350",365217.954409805
"351",296465.66747149
"352",524909.867223927
"353",233341.355184738
"354",587958.357949537
"355",481803.020440699
"356",539758.785583683
"357",413530.265806521
"358",609551.101177206
"359",372630.652923143
"360",396437.260289376
"361",298856.37562991
"362",950879.85195055
"363",1488903.86908317
"364",491890.621888782
"365",160168.955371939
"366",743902.613784484
"367",452838.476073215
"368",448712.845908563
"369",481809.76405833
"370",768190.905282219
"371",429274.262630424
"372",607114.151072878
"373",541228.388052534
"374",668229.180958872
"375",423571.833501528
"376",1258743.72452041
"377",126030.307517847
"378",583754.45484199
"379",452012.346081864
"380",583297.370818946
"381",480466.528207647
"382",762362.569167208
"383",564327.166422354
"384",579949.923767204
"385",581605.957238977
"386",492018.141966495
"387",547665.163669343
"388",867597.014390445
"389",352768.298795127
"390",736486.630604421
"391",1527455.88638655
"392",596305.578659862
"393",642155.984627497
"394",1220615.5018693
"395",442333.568162371
"396",351018.572080805
"397",198502.656956797
"398",378223.753406242
"399",590048.329531177
"400",351256.531583195
"401",927020.655099244
"402",90384.1577541318
"403",765207.686271535
"404",104334.265304389
"405",298372.743364025
"406",1004036.54954916
"407",167786.524855303
"408",585034.140708182
"409",582372.760845211
"410",254918.540191123
"411",240828.711794257
"412",661030.25695757
"413",376761.744993494
"414",-9381.43168827356
"415",870000.600874573
"416",330930.704450088
"417",448812.710811218
"418",238823.178272248
"419",388107.028114876
"420",75629.7725702672
"421",308306.361680573
"422",1017335.77493218
"423",200481.697920575
"424",913715.602889004
"425",768824.011576897
"426",650310.489763084
"427",817749.765406092
"428",1214190.95295678
"429",901095.59863808
"430",806063.255297871
"431",979496.890242849
"432",466108.907123722
"433",617632.36171154
"434",570111.591766271
"435",334594.553063218
"436",736003.166866591
"437",465760.736640514
"438",503674.369531967
"439",728594.251087025
"440",318211.695997797
"441",415343.145334557
"442",146464.697562787
"443",497483.066188278
"444",721431.062053015
"445",315770.272344689
"446",429957.413745848
"447",389282.803387206
"448",549417.44361794
"449",217374.443123094
"450",676852.736680016
"451",1017340.94103285
"452",352731.43202507
"453",472626.968748384
"454",455274.13685643
"455",485519.178562205
"456",611623.193159352
"457",59145.5543431728
"458",622346.619372762
"459",649286.293791322
"460",274639.929021298
"461",1124231.40732626
"462",164812.20159842
"463",749049.725017955
"464",581547.456741393
"465",349363.321320029
"466",895827.408199616
"467",387234.277016007
"468",177414.912493942
"469",158405.69869721
"470",768871.722467224
"471",1109149.75245087
"472",261990.803046054
"473",275208.935642706
"474",826855.64604052
"475",546457.238498916
"476",678782.62284175
"477",458037.912238512
"478",458487.383143875
"479",316416.07649704
"480",543155.24888001
"481",212259.416536092
"482",279753.082509333
"483",616104.968148195
"484",931744.64561745
"485",461264.566026908
"486",532634.195520679
"487",728174.232660859
"488",818288.088421375
"489",293332.219254153
"490",348148.363488352
"491",646515.428553133
"492",651563.643538522
"493",17938.5161570023
"494",283533.494446984
"495",1005492.27606449
"496",215976.8136846
"497",460607.286827536
"498",1421123.33979242
"499",1140178.40458179
"500",496102.63721897
"501",237109.398302142
"502",160035.836559192
"503",356848.4928343
"504",500765.317790738
"505",328999.595398449
"506",193096.196814948
"507",97901.6788520927
"508",578760.632431309
"509",966511.923008027
"510",730021.204988334
"511",387110.980346213
"512",247614.757680352
"513",797794.95590954
"514",798878.790218435
"515",771766.796725983
"516",1224887.89751213
"517",1247675.23147372
"518",197193.283525266
"519",102519.351719203
"520",515144.350961379
"521",488535.826353772
"522",437251.733317934
"523",647992.914182894
"524",507114.440764705
"525",549358.528814245
"526",233208.540088371
"527",385637.397289624
"528",410045.148440088
"529",1010415.3655347
"530",709663.427433172
"531",462786.682147624
"532",1055382.28072331
"533",1087010.19105798
"534",833950.606594966
"535",710308.420589852
"536",581764.572604831
"537",967863.738468459
"538",636084.382932319
"539",492176.143860471
"540",598121.050092392
"541",600527.559550208
"542",230399.646217035
"543",443586.218895232
"544",605007.427446854
"545",887144.068726463
"546",350822.239272983
"547",411759.202138425
"548",281030.565778039
"549",896693.970150672
"550",589012.500990263
"551",138376.081551783
"552",542188.120023166
"553",718224.09641045
"554",757986.792696464
"555",495277.906481423
"556",437971.682651401
"557",299632.375193718
"558",547907.537961717
"559",166724.297371642
"560",460326.663805162
"561",598280.00672125
"562",541210.348966759
"563",145147.16412093
"564",931729.805732537
"565",171202.148003526
"566",497845.149329567
"567",692649.735044515
"568",438864.745085861
"569",1067637.12439128
"570",332040.70613491
"571",464032.584456722
"572",491295.257337093
"573",190465.826442257
"574",412895.643817009
"575",403664.782101572
"576",180726.118284776
"577",522573.197376886
"578",367696.18921037
"579",1052650.34412922
"580",540775.263581579
"581",776559.351250888
"582",315985.784546374
"583",752943.954597353
"584",413715.362911364
"585",465293.938306382
"586",379443.434020803
"587",293491.786201113
"588",597105.509324696
"589",297291.223441065
"590",299150.949462843
"591",82853.5289375677
"592",27096.1906314721
"593",530988.710715006
"594",331320.147038816
"595",319696.369965209
"596",1463464.98335595
"597",638147.418116883
"598",641894.574096646
"599",584849.098424529
"600",786553.307031188
"601",687050.821534152
"602",923445.897220224
"603",579396.891175256
"604",366855.692470696
"605",386915.503546658
"606",672345.425864579
"607",120448.292680999
"608",698128.164529467
"609",382448.638428278
"610",726713.27246607
"611",1200478.97646797
"612",747205.521784687
"613",568027.811797021
"614",372298.60191979
"615",443091.279497336
"616",265389.525567039
"617",999039.961553359
"618",181960.663953289
"619",334958.228128499
"620",622829.841621763
"621",900737.167647762
"622",362990.832016218
"623",496393.607397203
"624",89905.6861414211
"625",517129.04445136
"626",712068.467250005
"627",425643.449533276
"628",1120113.75310611
"629",644034.265988739
"630",540315.428407539
"631",448236.638923786
"632",356743.874410113
"633",414329.517283739
"634",162272.197222285
"635",385327.043043027
"636",594921.88085689
"637",667944.80066445
"638",340832.676328307
"639",270069.791909544
"640",544034.086785616
"641",380894.465670094
"642",406664.582830185
"643",399532.21458237
"644",556562.60529996
"645",544630.363578857
"646",935593.376147384
"647",410542.3602272
"648",588357.016642176
"649",643245.515775782
"650",856122.08944557
"651",118030.545394859
"652",1047876.49644182
"653",639266.165572168
"654",84234.9543925888
"655",759133.038664525
"656",95239.1596423399
"657",138144.959198297
"658",371945.75498933
"659",460488.210195224
"660",481167.799506929
"661",413704.789789594
"662",613589.294335459
"663",797836.542055573
"664",243915.194149163
"665",172508.458598487
"666",38822.5166315394
"667",400859.334995398
"668",611357.961618833
"669",621586.156896617
"670",519972.584337918
"671",545809.312907579
"672",655358.901588592
"673",1240558.35108077
"674",524487.485659733
"675",423008.454524344
"676",695056.012056979
"677",1022610.5189565
"678",189311.33149185
"679",567821.069017524
"680",439403.600978319
"681",244908.943723052
"682",179528.417221511
"683",726717.547433102
"684",607604.133982498
"685",557619.171387767
"686",617092.156566855
"687",374933.441427287
"688",410418.764390524
"689",803995.89614771
"690",530277.899524273
"691",375501.945434759
"692",1175692.22879269
"693",563535.326384119
"694",863014.985842036
"695",563381.488584459
"696",748394.852738713
"697",556377.24007794
"698",460048.725969338
"699",404932.462205183
"700",1318751.34885326
"701",586731.55345549
"702",912831.340936504
"703",693228.863441178
"704",439663.561295519
"705",419408.313288997
"706",457681.127917317
"707",467411.891154516
"708",855360.934177399
"709",198356.710613396
"710",429057.8491382
"711",751940.55538199
"712",766665.07438437
"713",618136.161184115
"714",547480.384750394
"715",500775.003237789
"716",594261.452576315
"717",101385.943643011
"718",340997.469768146
"719",321103.249445995
"720",604347.054316141
"721",622829.677286299
"722",812765.103713548
"723",587968.735603746
"724",458227.320858343
"725",723081.675085337
"726",551400.720759962
"727",635289.711753619
"728",57419.5075629363
"729",1436758.46752644
"730",654671.65304534
"731",479676.386847148
"732",366372.293683242
"733",812525.514452135
"734",1377716.50680194
"735",982822.544674124
"736",503148.795575098
"737",1106704.15809004
"738",324998.480765574
"739",696698.530312623
"740",331808.208491401
"741",440629.106937789
"742",856997.2560281
"743",622829.059103991
"744",833090.914534966
"745",297147.066139345
"746",721799.20309782
"747",364122.696502651
"748",147032.049847444
"749",525543.391637004
"750",732563.00142534
"751",346049.737387939
"752",1228163.37081263
"753",991058.869547453
"754",558961.478305454
"755",779340.118762665
"756",242842.427548105
"757",553063.30798902
"758",727111.780515694
"759",614035.448120614
"760",460125.730062818
"761",645940.078235814
"762",209454.471917836
"763",478784.92740394
"764",63992.6636960137
"765",299927.217992217
"766",310276.050883078
"767",374264.665892627
"768",1044728.68795266
"769",254363.849302738
"770",735037.074118398
"771",368472.877153422
"772",1059506.53263057
"773",752739.931351313
"774",479501.455187026
"775",229960.498498215
"776",521379.556999207
"777",445418.154530258
"778",713840.893093433
"779",553825.008437771
"780",414016.380201621
"781",560562.788608019
"782",449903.271431642
"783",542677.494549792
"784",252598.240584201
"785",140180.825377986
"786",582643.427955401
"787",465593.519805626
"788",732898.294238762
"789",405667.539899606
"790",843694.452518678
"791",460574.062292993
"792",858918.880945097
"793",781722.384379144
"794",400129.876372316
"795",647726.240397885
"796",620758.246880854
"797",512167.239003193
"798",602165.335316137
"799",233253.620058926
"800",986602.971692299
"801",81362.6961010807
"802",876376.233641031
"803",498552.00399817
"804",517351.573374734
"805",900981.271993827
"806",467601.251478784
"807",924290.899386294
"808",675254.505443973
"809",534726.489360106
"810",502205.412964557
"811",647706.547073483
"812",356275.553892718
"813",722875.555713701
"814",635402.424517578
"815",275862.506208354
"816",439616.732076926
"817",571653.487523316
"818",406099.093671285
"819",349691.668141995
"820",1058667.84768068
"821",426391.88084091
"822",576836.285914743
"823",1064894.22793142
"824",660803.98096215
"825",477139.741940067
"826",280063.207069629
"827",346064.957632525
"828",405863.927030186
"829",743814.517893953
"830",383791.040079845
"831",907726.240783402
"832",208112.120096874
"833",360840.28082158
"834",289906.538177491
"835",575157.860990302
"836",455294.708966662
"837",229385.042275242
"838",906741.618801567
"839",379213.896385071
"840",566094.421974237
"841",384471.091317529
"842",983411.848982781
"843",1954292.92714439
"844",357940.796484981
"845",627910.815764748
"846",594970.149625913
"847",703054.443217608
"848",344394.951489734
"849",1257997.02738168
"850",401805.014021528
"851",31525.2614893568
"852",477798.823633307
"853",398252.76504712
"854",314891.053172517
"855",491956.217295994
"856",431088.029143795
"857",410416.101849541
"858",571161.925543743
"859",368055.9533121
"860",733029.719939723
"861",404685.516151383
"862",42490.2660680883
"863",535339.727124478
"864",418254.580032863
"865",490235.491375317
"866",1081357.41046334
"867",549871.958324611
"868",398309.304276467
"869",617286.81323786
"870",493028.288188375
"871",493262.57329699
"872",352193.528627721
"873",305085.373581488
"874",475682.740200864
"875",551078.742223052
"876",958561.888692426
"877",306783.025278818
"878",616661.209973339
"879",666955.287689137
"880",1404030.97972506
"881",1230905.53788803
"882",357965.484464735
"883",456025.056554756
"884",833436.501223143
"885",381993.109818279
"886",335455.696021133
"887",179230.660237143
"888",677160.551399288
"889",471725.034997829
"890",521514.724367574
"891",635020.612251232
"892",441740.733658543
"893",308290.372592469
"894",504499.367882621
"895",559293.053263925
"896",512659.535934717
"897",394204.209495388
"898",333137.248110615
"899",249810.593643407
"900",307160.219365059
"901",507793.074147507
"902",623875.830360274
"903",113528.792944246
"904",299181.957232195
"905",707228.986572992
"906",345066.128268696
"907",333987.864716581
"908",411855.554273637
"909",1065649.81509189
"910",374531.736167244
"911",593705.324138965
"912",515104.431624121
"913",450607.050804325
"914",470619.599916379
"915",205216.955638178
"916",431692.648631216
"917",655120.512836096
"918",564426.443762051
"919",1028890.35527057
"920",801144.24329998
"921",455944.380108081
"922",559440.008950224
"923",701099.621518383
"924",1050771.84656757
"925",512728.214009335
"926",211216.805951906
"927",467987.183782676
"928",819028.060710448
"929",344354.495270029
"930",346421.056544575
"931",1540575.10443494
"932",140718.617066511
"933",904888.772907277
"934",427056.343141187
"935",594139.342828296
"936",636223.936415445
"937",206950.310780578
"938",312291.121066188
"939",236040.060259045
"940",391925.138142253
"941",556070.945070096
"942",534818.379402118
"943",481475.896550956
"944",381944.535817398
"945",242256.669319411
"946",443081.791894642
"947",-35453.7490505974
"948",127008.017419849
"949",328417.927594846
"950",735896.876643618
"951",554246.400482701
"952",717415.436790227
"953",291191.976702693
"954",347047.02906452
"955",733273.055463241
"956",113720.271861688
"957",636062.746514064
"958",333648.000859824
"959",737024.836801994
"960",652454.835717339
"961",546514.097966912
"962",902105.435657614
"963",221183.767239837
"964",326708.53033553
"965",446305.804314314
"966",631653.343941737
"967",611402.804791949
"968",554003.662528471
"969",737793.609430005
"970",574263.853288667
"971",710144.073698867
"972",368767.960966065
"973",306506.80320657
"974",737321.676686172
"975",708094.808484566
"976",483965.087993682
"977",884871.721035506
"978",487991.32568841
"979",488795.662093106
"980",462652.946036353
"981",956838.00660571
"982",630333.578441849
"983",482282.434610188
"984",415551.938528774
"985",323657.631956206
"986",326138.540765424
"987",310113.48921849
"988",264233.649017123
"989",482142.113680299
"990",379595.379101668
"991",307237.674812125
"992",1049604.74547882
"993",1707061.11459562
"994",312659.441787838
"995",294806.622578764
"996",359765.895622253
"997",703883.419088231
"998",860046.638053983
"999",654271.62532114
"1000",642242.741568695
"1001",823742.24337346
"1002",503230.981597679
"1003",436984.605614162
"1004",1386397.12304032
"1005",118155.728693166
"1006",788762.31152149
"1007",733508.815509453
"1008",851267.217120044
"1009",976937.849302973
"1010",675588.18430127
"1011",761512.719899389
"1012",-44491.0001636849
"1013",1105769.0663685
"1014",486556.633522267
"1015",440870.057499106
"1016",763085.284717678
"1017",109877.349631745
"1018",118758.723416279
"1019",276172.06129383
"1020",346370.233443208
"1021",410119.190019428
"1022",656433.187719134
"1023",928772.073964533
"1024",671816.838025835
"1025",394304.763016862
"1026",129413.476118817
"1027",503448.457757374
"1028",108683.40123577
"1029",508545.152183306
"1030",405050.184760549
"1031",540105.775934313
"1032",442310.276599692
"1033",310963.796688367
"1034",929609.178986465
"1035",545016.310669669
"1036",648539.255272817
"1037",725073.453960677
"1038",585817.630238597
"1039",121057.979707575
"1040",480955.974816915
"1041",885541.770885339
"1042",615385.423919374
"1043",84446.3816051975
"1044",574107.682137443
"1045",320700.512539127
"1046",571729.410458523
"1047",633122.848712053
"1048",377796.989150672
"1049",250470.525886593
"1050",799771.725822559
"1051",540820.158051535
"1052",438115.928981087
"1053",456985.96528143
"1054",681494.499954628
"1055",347644.444370438
"1056",607241.96462267
"1057",815817.780035286
"1058",746995.101419084
"1059",645358.898401231
"1060",804701.591056719
"1061",601751.025892826
"1062",1138203.04038568
"1063",516813.646319046
"1064",256503.545183838
"1065",733555.905934894
"1066",457247.79913919
"1067",287695.727599784
"1068",628117.454215497
"1069",674377.904481215
"1070",563581.035904437
"1071",925195.422189912
"1072",260949.915617214
"1073",380412.464598458
"1074",363916.865312913
"1075",376952.485903735
"1076",570752.925970357
"1077",283084.805867449
"1078",1151167.5232519
"1079",289198.847460523
"1080",224192.054643405
"1081",661802.13547126
"1082",373301.472341089
"1083",361938.60705859
"1084",566489.73737086
"1085",467217.584754695
"1086",347060.750908229
"1087",565454.107137865
"1088",632715.159605557
"1089",200457.172161332
"1090",376331.615026879
"1091",596268.613905229
"1092",377432.723558361
"1093",379711.773735339
"1094",607841.164410725
"1095",793366.390531426
"1096",635367.028268694
"1097",357385.016999382
"1098",153525.336435421
"1099",415782.349257933
"1100",191213.325074793
"1101",643657.564021216
"1102",180373.087757408
"1103",438411.936370973
"1104",693110.180415733
"1105",1577145.89767504
"1106",1074322.75476116
"1107",824193.208141018
"1108",399099.072700035
"1109",88428.3091209071
"1110",718113.070171067
"1111",501941.571724406
"1112",403795.196453177
"1113",694187.372627828
"1114",816136.497814822
"1115",16370.1217615339
"1116",692525.994473728
"1117",632468.74017225
"1118",454653.388029552
"1119",619472.961936821
"1120",694756.32026861
"1121",1896123.91766942
"1122",580660.41929735
"1123",421563.646428451
"1124",663061.170752626
"1125",416508.744057963
"1126",522194.60400538
"1127",351322.756777939
"1128",408362.703653215
"1129",487854.644484933
"1130",621758.160626217
"1131",833651.470617897
"1132",568978.340639263
"1133",393864.131416334
"1134",500051.719561719
"1135",512491.558399455
"1136",262902.598337634
"1137",595662.625944267
"1138",784556.399861754
"1139",377142.340492406
"1140",473592.739175361
"1141",194029.418149894
"1142",667348.608167822
"1143",351574.329959564
"1144",410962.471844815
"1145",611368.720418506
"1146",1097049.85907422
"1147",330230.244804982
"1148",233662.403451455
"1149",492109.101320475
"1150",578886.936524505
"1151",1518072.74861222
"1152",346510.115397682
"1153",354823.416963759
"1154",637546.562521919
"1155",252769.941077611
"1156",441679.065576139
"1157",730877.35082417
"1158",276311.330011318
"1159",861933.415336625
"1160",327664.6255804
"1161",561643.581111253
"1162",396240.423908795
"1163",772112.603666499
"1164",231171.664239208
"1165",178437.483520211
"1166",584877.827113516
"1167",342854.362003558
"1168",234713.907316641
"1169",252658.453001724
"1170",437423.989054503
"1171",751093.854896203
"1172",908249.538454982
"1173",401804.028520921
"1174",617090.061693016
"1175",451392.287465692
"1176",159280.070026947
"1177",1340082.08029345
"1178",478399.231636988
"1179",235470.218170305
"1180",278732.458043652
"1181",634319.422961312
"1182",525813.957629022
"1183",377059.564508559
"1184",109732.61574405
"1185",834514.988848733
"1186",882448.874783701
"1187",348343.865954512
"1188",427023.344220354
"1189",579651.084694549
"1190",311088.513821349
"1191",363107.559765641
"1192",594241.057388677
"1193",471412.780119816
"1194",651293.428317682
"1195",867231.941298338
"1196",401029.75784896
"1197",475102.657597763
"1198",625351.401479281
"1199",355849.509623997
"1200",513680.927276605
"1201",363327.412403757
"1202",730784.32345295
"1203",355243.777063642
"1204",66834.1530539926
"1205",409913.448846064
"1206",338519.545917041
"1207",875728.203348669
"1208",204877.870598655
"1209",815002.466395366
"1210",115898.87756899
"1211",987287.694084015
"1212",235593.816369672
"1213",350589.6565491
"1214",264576.187385857
"1215",503157.26377535
"1216",410517.905626228
"1217",441291.939662366
"1218",182334.505458631
"1219",578632.305743627
"1220",1032082.14742149
"1221",634553.432416708
"1222",470302.512072006
"1223",555025.732985046
"1224",562855.580214888
"1225",323493.148393717
"1226",389821.265980766
"1227",293584.233544856
"1228",412295.860831471
"1229",514157.878211069
"1230",911003.986948124
"1231",321353.066188969
"1232",605354.568674444
"1233",574882.701703421
"1234",306922.707610631
"1235",232111.536774658
"1236",322950.778034832
"1237",1021237.03904352
"1238",293594.359884092
"1239",380685.860476921
"1240",613531.760201319
"1241",1118578.59107274
"1242",194947.449901327
"1243",981902.062961695
"1244",169483.370064926
"1245",289880.439857724
"1246",354541.209373728
"1247",148229.871796061
"1248",169306.023755107
"1249",174143.747107941
"1250",419108.343661861
"1251",549234.400357092
"1252",603305.943086201
"1253",409279.038866704
"1254",286695.178037547
"1255",352962.20988814
"1256",397339.889062941
"1257",603368.727748534
"1258",446597.5432414
"1259",985139.547473286
"1260",466150.333213122
"1261",630037.902547857
"1262",412192.044978318
"1263",185871.603567392
"1264",745750.962135135
"1265",834141.725197241
"1266",2233832.95062932
"1267",2412834.78301818
"1268",195917.301666191
"1269",112010.532505598
"1270",692778.283683092
"1271",883668.261459341
"1272",372692.806503982
"1273",241888.612750049
"1274",914582.100408996
"1275",570795.254053748
"1276",510982.159467382
"1277",366523.405531414
"1278",398561.495783631
"1279",358683.709603787
"1280",407945.202440495
"1281",557261.78913269
"1282",457280.659173373
"1283",280068.657167793
"1284",909977.976449489
"1285",790632.371892439
"1286",307887.178965813
"1287",458599.470255151
"1288",610406.521384224
"1289",733902.387345915
"1290",538656.505402072
"1291",716079.981994851
"1292",547333.28606326
"1293",542121.541723761
"1294",576270.863305076
"1295",910690.197665044
"1296",425870.818889381
"1297",815618.931846135
"1298",135847.20261758
"1299",491298.276400652
"1300",428104.594827057
"1301",426947.252355884
"1302",518326.225190161
"1303",687351.264415377
"1304",641397.917158368
"1305",739652.485768643
"1306",624393.826435765
"1307",247729.92925365
"1308",587036.115100151
"1309",213291.659975765
"1310",454495.824744969
"1311",913878.931966975
"1312",274379.322356428
"1313",364136.397475395
"1314",883843.846668882
"1315",270211.442924456
"1316",381203.071994153
"1317",721947.758302687
"1318",536280.127837056
"1319",450368.396856426
"1320",1107582.12886304
"1321",622682.388857447
"1322",573032.448117108
"1323",509104.238134696
"1324",710334.119062922
"1325",620329.147039497
"1326",889439.934162572
"1327",152862.56488513
"1328",426019.234769947
"1329",470544.016593127
"1330",710908.360289846
"1331",1303014.21606191
"1332",409799.399659666
"1333",382791.477090239
"1334",383035.025583465
"1335",661188.169050415
"1336",469280.315260577
"1337",754423.876790721
"1338",344649.501836088
"1339",451566.16241629
"1340",646250.439891115
"1341",369313.211330995
"1342",877969.073850782
"1343",492131.277692128
"1344",557652.504327729
"1345",941429.042007112
"1346",372531.913491082
"1347",421110.653097801
"1348",551659.745689266
"1349",320164.964278087
"1350",390515.623435849
"1351",618801.405227185
"1352",546971.252413579
